ID_x,Team_Name,Opponent_Name,Year,Owner_Team_Code,PlayNum,Possession,Yard,Hash,Down,Distance,Drive,Quarter,D_Formation,Formation,Formation_Strength,Play_Type,Play_Type_Dir,Pass_Zone,Coverage,Pressure_Left,Pressure_Middle,Pressure_Right,Result,Result_BallCarrier,Event,Result_Lat,Result_Lon,Play_Lat,Play_Lon,Simplified,ID_y,Team_Code,Wide_Recievers,Tight_Ends,Running_Backs,Image
233,Burnsville,Park,2021,EVHS22,1,Burnsville,20,Middle,1,10,1,1,5-2,Pro,Right,Inside Run,Right,Non Passing Play,Man 1,0,0,0,3,-99,,2.3,5.045,2.0,4.0,false,22,EVHS22,2,1,2,/Dev
130,Burnsville,Park,2021,EVHS22,1,Burnsville,20,Middle,1,10,1,1,5-2,Pro,Right,Inside Run,Right,Non Passing Play,Man 1,0,0,0,3,-99,,2.3,5.045,2.0,4.0,false,22,EVHS22,2,1,2,/Dev
234,Burnsville,Park,2021,EVHS22,2,Burnsville,23,Middle,2,7,1,1,5-2,Pro,Right,Inside Run,Right,Non Passing Play,Man 1,0,0,0,29,-99,,5.2,5.045,2.3,4.0,false,22,EVHS22,2,1,2,/Dev
131,Burnsville,Park,2021,EVHS22,2,Burnsville,23,Middle,2,7,1,1,5-2,Pro,Right,Inside Run,Right,Non Passing Play,Man 1,0,0,0,29,-99,,5.2,5.045,2.3,4.0,false,22,EVHS22,2,1,2,/Dev
132,Burnsville,Park,2021,EVHS22,3,Burnsville,52,Right,1,10,1,1,5-2,Pro,Left,Inside Run,Left,Non Passing Play,Man 1,0,0,0,4,-99,,5.6,5.045,5.2,6.0,false,22,EVHS22,2,1,2,/Dev
235,Burnsville,Park,2021,EVHS22,3,Burnsville,52,Right,1,10,1,1,5-2,Pro,Left,Inside Run,Left,Non Passing Play,Man 1,0,0,0,4,-99,,5.6,5.045,5.2,6.0,false,22,EVHS22,2,1,2,/Dev
133,Burnsville,Park,2021,EVHS22,4,Burnsville,56,Left,2,6,1,1,4-3,Pro,Right,Outside Run,Right,Non Passing Play,Man 1,0,1,0,30,-99,,8.6,5.045,5.6,5.045,false,22,EVHS22,2,1,2,/Dev
236,Burnsville,Park,2021,EVHS22,4,Burnsville,56,Left,2,6,1,1,4-3,Pro,Right,Outside Run,Right,Non Passing Play,Man 1,0,1,0,30,-99,,8.6,5.045,5.6,5.045,false,22,EVHS22,2,1,2,/Dev
134,Burnsville,Park,2021,EVHS22,5,Burnsville,86,Right,1,10,1,1,4-3,Pro,Left,Inside Run,Left,Non Passing Play,Man 1,0,1,0,0,-99,,8.6,5.045,8.6,6.0,false,22,EVHS22,2,1,2,/Dev
237,Burnsville,Park,2021,EVHS22,5,Burnsville,86,Right,1,10,1,1,4-3,Pro,Left,Inside Run,Left,Non Passing Play,Man 1,0,1,0,0,-99,,8.6,5.045,8.6,6.0,false,22,EVHS22,2,1,2,/Dev
