ID,Team_Name,Opponent_Name,Year,Owner_Team_Code,PlayNum,Possession,Yard,Hash,Down,Distance,Drive,Quarter,D_Formation,Formation,Formation_Strength,Play_Type,Play_Type_Dir,Pass_Zone,Coverage,Pressure_Left,Pressure_Middle,Pressure_Right,Result,Result_BallCarrier,Result_Lat,Result_Lon,Play_Lat,Play_Lon,Simplified
29,Burnsville,Farmington,2021,EVHS22,1,Farmington,43,Right,1,10,1,1,4-3,Double Wide,Left,Pocket Pass,Not Selected,Flats - Left,Zone 3,0,0,0,14,-99,5.7,5.045,4.3,6.0,false
30,Burnsville,Farmington,2021,EVHS22,2,Farmington,57,Left,1,10,1,1,4-3,Double Wide,Right,Pocket Pass,Not Selected,Flats - Left,Zone 3,0,0,0,15,-99,7.2,5.045,5.7,5.045,false
31,Burnsville,Farmington,2021,EVHS22,3,Farmington,72,Left,1,10,1,1,4-3,Double Wide,Right,Inside Run,Right,Non Passing Play,Zone 3,0,0,0,6,-99,7.8,5.045,7.2,5.045,false
32,Burnsville,Farmington,2021,EVHS22,4,Farmington,76,Left,2,4,1,1,4-3,Double Wide,Right,Pocket Pass,Not Selected,Deep - Right,Zone 3,0,0,0,19,-99,9.5,5.045,7.6,5.045,false
33,Burnsville,Farmington,2021,EVHS22,5,Farmington,95,Right,1,10,1,1,4-3,Double Wide,Left,Inside Run,Left,Non Passing Play,Man 0,0,0,0,2,-99,9.7,5.045,9.5,6.0,false
34,Burnsville,Farmington,2021,EVHS22,6,Farmington,97,Right,2,8,1,1,4-3,Wide,Left,Inside Run,Left,Non Passing Play,Man 0,1,0,0,2,-99,9.9,5.045,9.7,6.0,false
35,Burnsville,Farmington,2021,EVHS22,7,Farmington,97,Middle,3,6,1,1,4-3,Trips Flex,Left,Inside Run,Left,Non Passing Play,Man 0,0,0,0,3,-99,10.0,5.045,9.7,4.0,false
36,Burnsville,Farmington,2021,EVHS22,8,Burnsville,44,Right,1,10,2,1,3-4,Twins,Left,Inside Run,Right,Non Passing Play,Zone 3,0,0,0,1,-99,4.5,5.045,4.4,6.0,false
37,Burnsville,Farmington,2021,EVHS22,9,Burnsville,45,Right,2,9,2,1,3-4,Wing,Left,Inside Run,Left,Non Passing Play,Man 1,0,0,0,1,-99,4.6,5.045,4.5,6.0,false
38,Burnsville,Farmington,2021,EVHS22,10,Burnsville,46,Right,3,8,2,1,3-4,Wing,Left,Boot Pass,Not Selected,Non Passing Play,Man 1,0,0,0,10,-99,5.6,5.045,4.6,6.0,false
